Benchmarks,Source,NPEX,BASELINE,Genesis,VFIx
qpid-proton-j_6422e24,Ours,INCORRECT,INCORRECT,NO_PATCH,N/A
Activiti_0d83e98,Ours,INCORRECT,INCORRECT,INCORRECT,NO_PATCH
commons-bcel_1faf7d9,Ours,INCORRECT,NO_PATCH,NO_PATCH,NO_PATCH
qpid-proton-j_87ec94b,Ours,INCORRECT,CORRECT,NO_PATCH,NO_PATCH
shardingsphere_52b0150,Ours,NO_PATCH,INCORRECT,NO_PATCH,N/A
shardingsphere_e46f68d,Ours,CORRECT,CORRECT,CORRECT,N/A
easy-rules_72d7bff,Ours,NO_PATCH,NO_PATCH,NO_PATCH,NO_PATCH
sling-org-apache-sling-pipes_674819d,Ours,CORRECT,CORRECT,NO_PATCH,N/A
spring-hateoas-48749e7-buggy,Genesis,CORRECT,INCORRECT,CORRECT,N/A
tablesaw_65596d8,Ours,CORRECT,INCORRECT,INCORRECT,N/A
truth-99b314e-buggy,Genesis,INCORRECT,INCORRECT,NO_PATCH,N/A
shardingsphere_48237c8,Ours,NO_PATCH,NO_PATCH,INCORRECT,NO_PATCH
xmlgraphics-fop_991b446,Ours,INCORRECT,NO_PATCH,NO_PATCH,N/A
zookeeper_e41cac8,Ours,INCORRECT,INCORRECT,INCORRECT,N/A
opengrok_6a95adb,Ours,NO_PATCH,NO_PATCH,NO_PATCH,N/A
chart-14,VFix,CORRECT,INCORRECT,N/A,CORRECT
chart-15,VFix,CORRECT,INCORRECT,N/A,CORRECT
chart-16,VFix,INCORRECT,NO_PATCH,N/A,CORRECT
chart-25,VFix,NO_PATCH,CORRECT,N/A,CORRECT
chart-26,VFix,CORRECT,CORRECT,N/A,CORRECT
chart-4,VFix,CORRECT,INCORRECT,N/A,CORRECT
collections-360,VFix,CORRECT,INCORRECT,N/A,CORRECT
collections-39,VFix,NO_PATCH,INCORRECT,N/A,CORRECT
felix-5464,VFix,CORRECT,INCORRECT,N/A,CORRECT
lang-20,VFix,CORRECT,CORRECT,N/A,CORRECT
lang-33,VFix,CORRECT,INCORRECT,N/A,CORRECT
lang-39,VFix,CORRECT,INCORRECT,N/A,CORRECT
lang-47,VFix,CORRECT,INCORRECT,N/A,CORRECT
math-4,VFix,CORRECT,INCORRECT,N/A,CORRECT
pdfbox-2477,VFix,CORRECT,CORRECT,N/A,CORRECT
pdfbox-2948,VFix,CORRECT,CORRECT,N/A,CORRECT
pdfbox-2965,VFix,CORRECT,CORRECT,N/A,CORRECT
pdfbox-2995,VFix,CORRECT,INCORRECT,N/A,CORRECT
pdfbox-3572,VFix,CORRECT,INCORRECT,N/A,CORRECT
sling-6487,VFix,CORRECT,INCORRECT,N/A,CORRECT
felix-4960,VFix,CORRECT,INCORRECT,N/A,INCORRECT
lang-57,VFix,INCORRECT,INCORRECT,N/A,INCORRECT
math-70,VFix,NO_PATCH,INCORRECT,N/A,INCORRECT
pdfbox-2266,VFix,INCORRECT,INCORRECT,N/A,INCORRECT
pdfbox-3479,VFix,NO_PATCH,CORRECT,N/A,INCORRECT
sling-4982,VFix,CORRECT,INCORRECT,N/A,INCORRECT
chart-2,VFix,NO_PATCH,NO_PATCH,N/A,NO_PATCH
math-79,VFix,NO_PATCH,NO_PATCH,N/A,NO_PATCH
pdfbox-2812,VFix,NO_PATCH,NO_PATCH,N/A,NO_PATCH
pdfbox-2951,VFix,INCORRECT,NO_PATCH,N/A,NO_PATCH
